[30.00 → 31.26]  ¿Ya pusiste a grabar?
[3317.59 → 3318.83]  Se puede dar un cupo ahí para eso.
[3319.01 → 3319.51]  Exacto.
[3319.77 → 3323.49]  Y que además de que es la única mujer que está sola, sentándola,
[3324.01 → 3327.43]  que ha trabajado acá en la carretera y en las mesas.
[3327.49 → 3328.45]  Y actualmente es profe.
[3328.45 → 3329.35]  Ya ha sido profe.
[3330.31 → 3333.67]  Entonces, si hay de mujeres, pues hay todo.
[3334.35 → 3335.51]  Tiene que haber paridad.
[3336.01 → 3336.97]  Y buscar la paridad.
[3339.69 → 3344.79]  Y lo otro, yo creo que el criterio de no experiencia no es un criterio.
[3345.79 → 3346.45]  No es un criterio.
[3346.59 → 3350.63]  Digamos que normalmente o históricamente, desde que yo estaba en el comité,
[3351.35 → 3352.47]  siempre se mira...
[3352.47 → 3357.73]  No sé si esto se hizo como que los profes de las áreas miraran
[3357.73 → 3360.39]  y hicieran una recomendación, pero no alcanzamos.
[3360.99 → 3364.09]  No, no alcanzamos por lo que se cerró en diciembre.
[3364.55 → 3366.05]  Y ahora intentamos hacer como que...
[3366.05 → 3366.47]  Listo.
[3366.77 → 3371.05]  El otro criterio era que hubieran cursado un posgrado mínimo maestría
[3371.05 → 3372.67]  o que lo estuvieran cursando.
[3373.17 → 3376.67]  Y que fueran estudiantes nuestros de la facultad.
[3376.83 → 3379.15]  Entonces, por ejemplo, generalmente escogemos...
[3379.15 → 3382.69]  O generalmente siempre queda propuestas de la gente que está estudiando el doctorado o la maestría.
[3382.99 → 3384.95]  El criterio de género también se tiene en cuenta.
[3384.95 → 3387.95]  Como que haya balance entre las propuestas que se escoge.
[3388.73 → 3391.05]  La experiencia docente sí ha sido un criterio.
[3391.73 → 3396.67]  Y especialmente a quienes han sido docentes con nosotros anteriormente,
[3397.69 → 3401.43]  se les miraba la evaluación docente, para los que repetían.
[3401.61 → 3403.05]  Para los que repetían la evaluación docente.
[3403.23 → 3406.09]  Pero pues ahorita no tenemos evaluación docente.
[3406.71 → 3409.71]  Que hicieran parte de algún grupo de investigación de la facultad,
[3409.93 → 3411.87]  también se miraba o se tenía en cuenta.
[3412.97 → 3415.87]  Y no recuerdo qué otro criterio.
[3417.31 → 3418.07]  Puede ser...
[3418.07 → 3419.05]  Monitorías.
[3419.15 → 3420.43]  El de maestría reparece.
[3420.67 → 3422.05]  El de experiencia no.
[3423.71 → 3424.87]  Puede ser...
[3424.87 → 3429.71]  Una de las quejas que hay siempre en los temas de juventud es que...
[3429.71 → 3431.41]  Porque repiden experiencia de la gente.
[3431.91 → 3435.05]  Y tú estás estudiando, terminando la carrera.
[3435.27 → 3437.01]  Entonces, como tienes experiencia frikis.
[3437.01 → 3437.43]  De acuerdo.
[3437.43 → 3442.41]  Como hay otro criterio adicional que es el de maestría.
[3442.95 → 3444.61]  Ese puede suplir un poco.
[3445.41 → 3446.51]  Pero no experiencia.
[3446.69 → 3449.37]  Sí, me parece que la discusión siempre giraba en torno a eso.
[3449.75 → 3451.75]  Como o que estuviera cursando estudios de maestría.
[3451.83 → 3453.87]  O que tuviera algún tipo de experiencia docente.
[3454.31 → 3458.11]  Y en todo caso se les tenían en cuenta lo que preguntó el profe Lozano.
[3458.15 → 3460.59]  Que era algún tipo de monitoría o apoyo a algún docente.
[3460.65 → 3462.43]  Por ejemplo, mientras fueron estudiantes de pregrado.
[3463.25 → 3465.69]  O siendo estudiantes de maestría o de doctorado.
[3465.69 → 3467.69]  ¿Cómo es que se asignan esas becas?
[3470.27 → 3470.31]  Eso.
[3470.99 → 3472.03]  Parece ser ya muy bueno.
[3473.41 → 3475.15]  Y a futuro no sé si han dejado o si han pensado.
[3476.63 → 3481.63]  Pero me parece que hay que hacer un trabajo pedagógico con los nuevos profesores.
[3483.13 → 3484.73]  Hay que hacer un seminario.
[3484.85 → 3488.49]  O sea, con los profesores ya veteranos.
[3489.35 → 3494.63]  Me parece que ese es un criterio interesante para fortalecer la docencia.
[3494.63 → 3503.03]  Porque la docencia, yo siento que desgraciadamente reproducimos lo mismo que criticamos.
[3503.03 → 3507.95]  O sea, criticamos los métodos, criticamos las maneras de...
[3507.95 → 3511.31]  Entonces llega una persona joven que hace el docente.
[3511.51 → 3511.95]  ¿Y qué hace?
[3513.07 → 3519.05]  Y sufrió todas las penurias de la docencia que tenemos.
[3519.07 → 3520.33]  Todos los defectos que tenemos.
[3520.95 → 3522.23]  Y vuelve y reproduce lo mismo.
[3523.23 → 3524.23]  Lo mismo.
[3524.55 → 3525.93]  Como la presión académica.
[3527.97 → 3534.81]  Es un conjunto de cosas que no ayudan a que la docencia sea significativa.
[3535.41 → 3543.43]  Y como no somos ni licenciados ni tenemos esa trayectoria de estudios en pedagogía.
[3543.85 → 3546.23]  Pues sería bueno hacer un trabajo con...
[3546.23 → 3550.17]  Se eligieron tantos profesores que asistan a un seminario.
[3550.17 → 3553.53]  Yo justamente he estado de acuerdo con eso.
[3554.11 → 3556.51]  Hemos pensado en la presión nacional estudiantil.
[3557.05 → 3560.17]  Para que, no sé, como que antes de iniciar el semestre también se haya...
[3560.89 → 3566.67]  Puede incluir en el seminario un tema de charla de aprendizaje de bienes basadas en género para los docentes.
[3567.27 → 3568.85]  No sé cómo se podría articular.
[3569.31 → 3571.45]  Porque igual es parte de la pedagogía.
[3571.79 → 3573.17]  Y como que voy a meter un espacio para...
[3573.71 → 3576.71]  Antes de que el semestre con los profesores vocacionales los llevamos a todos.
[3576.97 → 3578.61]  Pues que sea este espacio.
[3580.97 → 3583.25]  Una cuestión también que me parece importante.
[3584.69 → 3586.61]  Y que es crítica desde mi perspectiva.
[3587.63 → 3589.61]  Es que todavía se hagan parciales.
[3593.03 → 3593.19]  Sí.
[3593.19 → 3594.61]  Yo creo que hemos pasado a una escuelita.
[3596.01 → 3597.61]  O sea, eso es que...
[3598.31 → 3599.63]  Es que ni siquiera el siglo pasado.
[3599.65 → 3602.47]  Llegan los nuevos y se producen lo mismo.
[3603.35 → 3605.89]  Léete 400 páginas y te pregunto.
[3606.07 → 3607.85]  Que se me dé la gana y te responda.
[3608.61 → 3611.61]  Si eso me parece extravagante.
[3612.05 → 3613.31]  Cuando los libros están ahí.
[3613.85 → 3615.91]  Cuando hay la posibilidad de hacer ensayos.
[3617.01 → 3622.47]  Y jodiendo como van a cerrar dos preguntas después de leer 400 páginas.
[3623.07 → 3625.47]  O sea, eso tiene un huevo impresionante.
[3626.41 → 3629.79]  Eso lo veo todavía por acá en nuestras tierras.
[3630.91 → 3632.19]  Totalmente jodido.
[3633.23 → 3634.45]  Puede ser todo eso.
[3634.69 → 3641.67]  O sea, ¿cómo hacemos esa transición entre nosotros?
[3645.19 → 3651.19]  Hay una propuesta de temas de pedagogía.
[3652.23 → 3654.95]  Y de nuevas formas metodológicas en las clases.
[3655.17 → 3658.21]  Que está contemplada en el plano de mejoramiento.
[3658.21 → 3662.17]  Después de todo el tema de autoevaluación de ciencia política.
[3662.63 → 3666.35]  Y además también está contemplada en la propuesta de adecuación natural.
[3667.43 → 3672.13]  Sé que existe ya una pedagoga que está vinculada a derecho.
[3673.23 → 3678.31]  Y que ya se ha hecho como una actividad con profes de derecho referente a eso.
[3678.59 → 3679.05]  Un piloto.
[3679.19 → 3680.83]  Sí, algo así como un piloto.
[3681.21 → 3685.67]  Pero entonces la propuesta y lo que también hemos pedido de ciencia política.
[3685.67 → 3689.65]  Que ella también trabaje con propiedad de ciencia política.
[3690.31 → 3692.73]  Y se tenga como tal el proyecto.
[3692.91 → 3695.31]  No lo tenemos todavía por decirlo de alguna forma.
[3695.37 → 3698.49]  Como que tengamos fechas, como que tengamos actividades específicas.
[3698.55 → 3699.75]  O algún trabajo con ella.
[3700.35 → 3704.07]  Pero sí se ha solicitado también atendiendo lo que les comento.
[3704.11 → 3705.83]  El plan de mejoramiento del programa.
[3707.73 → 3708.51]  Sí, no sé.
[3708.51 → 3709.57]  O sea, ¿qué se va a poner?
[3709.79 → 3710.91]  Pero no sé qué tan posible sea.
[3711.03 → 3714.37]  Que así como se hace una inducción.
[3714.37 → 3716.53]  Que se hace para los chicos que entran nuevos.
[3716.85 → 3718.71]  Si se puede hacer una semana o unos días.
[3718.79 → 3719.87]  O sea dos días, tres días.
[3720.03 → 3723.35]  De talleres, de pedagogía y de género.
[3723.63 → 3725.45]  De, digamos, de esto.
[3726.67 → 3731.07]  De inclusión activa para personas que tengan capacidades diversas.
[3731.83 → 3733.55]  Y que sean, sí, unos días.
[3733.63 → 3736.77]  O sea, digamos, tienen que hacer muchas reuniones y todo esto.
[3736.83 → 3739.65]  Pero pues, al menos que puedan poner, digamos, tres días.
[3739.73 → 3741.05]  Para hacer talleres.
[3742.37 → 3743.93]  Porque siento que sí es muy necesario.
[3744.43 → 3746.03]  Que a pesar de que ya lleves mucho tiempo acá.
[3746.03 → 3749.89]  Igual sigan actualizando su conocimiento.
[3751.03 → 3752.55]  Y más que tal, están también haciendo cosas nuevas, ¿no?
[3752.73 → 3754.79]  Porque pues muchos, o sea, hay muchos estudiantes que no entienden.
[3754.87 → 3755.99]  Que tienen mucha experiencia en todo esto.
[3756.07 → 3757.49]  Y que han dado clases.
[3757.69 → 3758.23]  Pero no por eso.
[3758.29 → 3761.81]  Digamos que tienen mucho conocimiento en lo que es la pedagogía.
[3762.07 → 3764.09]  O en, sí, enseñar como tal.
[3764.57 → 3766.45]  Que también, pues yo sí creo que, bueno.
[3767.01 → 3768.05]  Ahí es donde empieza el conflicto.
[3768.09 → 3771.79]  Porque pues nosotros podemos hacer los talleres y demás.
[3772.15 → 3773.71]  La cosa es cómo garantizar que asistan.
[3774.07 → 3775.73]  Y pues como que se aprobó el conocimiento.
[3776.05 → 3776.35]  Porque pues...
[3776.35 → 3779.05]  No, pues ahí necesitamos como una articulación con la parte administrativa.
[3779.29 → 3781.67]  Que ellos son los que saben cómo podría funcionar eso.
[3781.93 → 3784.23]  A los que tienen llamas de contacto son ellas.
[3784.57 → 3785.61]  Y vienen en contacto con nosotros.
[3785.63 → 3786.43]  Otra cosa.
[3786.71 → 3789.59]  Si bien, como varía curricular.
[3789.75 → 3792.43]  Digamos que nos corresponde todo el tema de vinculación docente.
[3792.65 → 3795.53]  Tener presente que el tema de género.
[3795.53 → 3797.89]  Que le corresponde a bienestar, ¿no?
[3797.89 → 3798.87]  Con su unidad de género.
[3798.99 → 3800.81]  Entonces yo creo que la coordinación.
[3801.13 → 3802.47]  Para el tema de esos talleres de género.
[3802.49 → 3804.45]  Debería hacerse con bienestar.
[3804.87 → 3806.23]  De pronto en el tema pedagógico.
[3806.25 → 3808.89]  Nosotros desde la área sí podríamos tener como más.
[3809.83 → 3811.39]  Como más margen de acción.
[3811.63 → 3813.41]  En conjunto con el programa de acompañamiento académico.
[3813.43 → 3814.59]  Que creo que lo ha venido haciendo.
[3814.93 → 3817.79]  Pero para el tema de género sí creo que es importante que de pronto.
[3818.29 → 3819.89]  Ustedes como representación.
[3820.13 → 3821.19]  Lo comenten con bienestar.
[3821.29 → 3823.51]  Porque le corresponde directamente a bienestar.
[3826.39 → 3827.51]  Muy bien.
[3827.51 → 3829.83]  Tiene que pasar un esfuerzo ahí.
[3830.43 → 3830.59]  Sí.
[3831.17 → 3833.37]  Y ahora tiene la capacidad de convocar.
[3833.61 → 3836.23]  Lo que yo digo que hay que tener presente.
[3836.85 → 3838.75]  Como ahorita bien pendiente.
[3839.51 → 3841.75]  Es respecto a los sílabus.
[3842.79 → 3844.31]  Y pues todos los textos introductorios.
[3844.47 → 3845.85]  Toda la bibliografía y eso demás.
[3846.43 → 3846.87]  Y pues.
[3847.43 → 3849.31]  Como nosotros desde representación.
[3849.39 → 3850.29]  Lo que estábamos planteando.
[3850.35 → 3851.39]  Era que eso se tuviera.
[3851.39 → 3853.23]  Antes de las inscripciones en el CIDA.
[3853.27 → 3854.53]  Porque suele.
[3854.53 → 3856.69]  Pasar que en el CIDA solo se habla el nombre del curso.
[3856.85 → 3857.05]  Y ya.
[3857.43 → 3858.19]  Y no hay más.
[3859.21 → 3859.73]  No sé.
[3859.85 → 3860.73]  Acá sí propongo eso.
[3860.87 → 3861.73]  Como es la administrativa.
[3861.87 → 3864.49]  Pues nosotros también desde representación estudiantil.
[3864.67 → 3865.11]  Ayudar.
[3865.27 → 3866.83]  Porque pues eso al final del día es trabajo.
[3867.35 → 3869.07]  No solo exigir.
[3869.31 → 3870.57]  Pero precisamente eso.
[3870.83 → 3872.73]  Empezar a mirar cómo vamos a hacer.
[3872.77 → 3874.87]  Para que el próximo semestre podamos tener.
[3875.79 → 3876.23]  Esos.
[3876.43 → 3878.75]  Podamos tener tanto las justificaciones de programa.
[3878.91 → 3879.53]  Como las bibliografías.
[3880.17 → 3880.61]  Como demás.
[3880.69 → 3882.17]  Como poner en cintura los procesos.
[3882.17 → 3883.63]  Porque es algo que.
[3883.63 → 3885.17]  Mucho tiempo se ha llevado desordenado.
[3886.53 → 3887.37]  Como entre todos.
[3888.47 → 3890.37]  Precisamente por eso también necesitamos.
[3890.63 → 3891.17]  Como validar.
[3893.41 → 3894.39]  Estos cursos.
[3894.57 → 3896.17]  Porque la fecha que les decía.
[3896.29 → 3897.09]  7 de febrero.
[3897.21 → 3899.29]  No es solamente para creación de nuevos códigos.
[3899.31 → 3900.41]  Sino para.
[3900.67 → 3901.79]  Modificar asignaturas.
[3901.97 → 3903.61]  O sea asignaturas que ya existen.
[3903.81 → 3905.37]  Que tengan alguna actualización.
[3905.41 → 3906.37]  De bibliografía.
[3906.57 → 3907.05]  De todo esto.
[3907.55 → 3908.67]  Todo eso tiene que pasar.
[3908.79 → 3910.63]  Por un aval de consejo de facultad.
[3910.75 → 3911.25]  Y.
[3911.25 → 3912.87]  Es la única forma.
[3913.17 → 3914.25]  Para que el silla esté completo.
[3915.49 → 3915.73]  Entonces.
[3916.55 → 3917.89]  Pues precisamente por eso.
[3918.17 → 3918.25]  Como que.
[3919.81 → 3920.77]  Digamos que.
[3920.97 → 3921.81]  Casi siempre lo hacemos.
[3921.93 → 3923.09]  En una sesión de comité.
[3923.31 → 3923.47]  Esto.
[3924.07 → 3924.93]  También al ver.
[3924.97 → 3926.15]  La cantidad de propuestas.
[3926.21 → 3927.01]  Que recibimos.
[3927.21 → 3928.27]  Pues decidimos hacerla.
[3928.31 → 3928.55]  Esta.
[3928.69 → 3929.41]  Y la próxima.
[3930.01 → 3930.53]  Para también.
[3930.61 → 3931.41]  Si es necesario.
[3931.51 → 3932.61]  No solamente la creación.
[3932.65 → 3934.13]  Sino la modificación de alguna.
[3934.21 → 3934.57]  Pues.
[3934.59 → 3935.23]  Poderla hacer.
[3935.47 → 3935.97]  Como con el tiempo.
[3936.35 → 3936.97]  Respecto a eso.
[3936.99 → 3937.65]  Hay posibilidad.
[3937.73 → 3938.93]  Que unidad de comunicaciones.
[3938.93 → 3939.79]  Se empieza a modelar.
[3939.93 → 3940.63]  Masivos profesores.
[3941.87 → 3942.73]  Para que.
[3942.89 → 3943.39]  Tengan en cuenta.
[3943.43 → 3943.97]  Sus plazos.
[3944.07 → 3944.39]  Y demás.
[3945.05 → 3945.81]  Creería que sí.
[3945.81 → 3946.81]  Tendríamos que revisar.
[3946.85 → 3947.11]  Ahorita.
[3947.27 → 3948.69]  Cómo está la unidad de comunicaciones.
[3948.79 → 3950.37]  Y ya contratar a todo el mundo.
[3951.07 → 3951.57]  Porque.
[3952.27 → 3952.73]  Por ejemplo.
[3952.77 → 3953.55]  Hoy está empezando.
[3953.97 → 3954.47]  Y.
[3955.81 → 3956.31]  Entonces.
[3956.59 → 3957.67]  Tendríamos que revisar.
[3957.73 → 3958.85]  Cómo está la contratación.
[3959.03 → 3959.67]  En comunicaciones.
[3960.29 → 3960.79]  Para.
[3961.47 → 3961.71]  Para.
[3961.87 → 3963.17]  Poder empezar a apoyar.
[3963.41 → 3963.79]  Para ti.
[3964.13 → 3964.89]  Entreguen eso a tiempo.
[3966.59 → 3967.09]  Incluso.
[3967.09 → 3967.45]  O sea.
[3967.75 → 3968.61]  Si también.
[3968.67 → 3970.25]  También lo que podríamos hacer.
[3970.39 → 3970.49]  Es.
[3970.49 → 3972.13]  Si de pronto el SIA no es.
[3972.37 → 3972.95]  Tan eficiente.
[3974.91 → 3975.39]  Pues.
[3975.59 → 3976.87]  Podríamos incluso mover.
[3976.91 → 3977.91]  Los programas.
[3978.19 → 3978.83]  Por correo masivo.
[3979.39 → 3980.17]  O por ejemplo.
[3980.49 → 3980.71]  Olectivas.
[3981.15 → 3981.73]  Que tengamos.
[3983.21 → 3983.69]  Nosotros.
[3984.13 → 3984.57]  Pues.
[3985.85 → 3986.19]  Si esperamos.
[3986.39 → 3987.39]  Ya que el SIA nos solucione.
[3987.47 → 3988.07]  Y nos quedamos.
[3988.41 → 3988.47]  Sí.
[3988.61 → 3989.33]  Podríamos hacer.
[3989.57 → 3989.59]  Como.
[3989.75 → 3990.23]  Trabajar.
[3990.31 → 3990.97]  En los dos partes.
[3991.35 → 3991.55]  Para.
[3991.69 → 3992.49]  También poder.
[3992.57 → 3992.81]  Pues.
[3992.87 → 3993.55]  También apoyarnos.
[3993.63 → 3994.45]  En comunicaciones.
[3994.45 → 3995.41]  Para cuando tengamos.
[3995.41 → 3996.09]  Ya definidas.
[3996.53 → 3996.93]  Materias.
[3996.95 → 3997.35]  Podemos.
[3997.85 → 3998.25]  Enviar.
[3998.59 → 3998.63]  Y.
[3998.63 → 3999.19]  Que todos.
[3999.35 → 4000.29]  Y todas tengan acceso.
[4000.51 → 4000.99]  Al cual programa.
[4001.45 → 4002.21]  Dicen que tenemos.
[4002.41 → 4002.69]  Ayudados.
[4002.73 → 4003.13]  Ustedes dos.
[4003.33 → 4003.99]  Como que empiecen a.
[4003.99 → 4004.35]  Mudar lados.
[4004.47 → 4005.17]  Para que vayan.
[4005.29 → 4006.67]  Los profesores cuadrando eso.
[4007.07 → 4007.45]  Y pues.
[4007.47 → 4007.85]  Lo mismo.
[4007.99 → 4008.11]  O sea.
[4008.19 → 4008.93]  Yo entiendo que.
[4009.05 → 4010.17]  El semestre pasado.
[4010.25 → 4010.83]  Hubo un problema.
[4011.09 → 4011.77]  Respecto a.
[4011.77 → 4012.55]  Una cuestión del SIA.
[4012.61 → 4013.29]  Los profesores.
[4013.53 → 4013.71]  Pues.
[4013.77 → 4014.57]  Yo creo que se puede.
[4014.69 → 4014.97]  O sea.
[4014.97 → 4016.59]  Yo por lo menos.
[4016.75 → 4017.07]  Así.
[4017.19 → 4017.99]  Ya hablo personalmente.
[4018.09 → 4019.07]  No quiero comprometer el tiempo.
[4019.21 → 4019.71]  Mis compañeros.
[4019.93 → 4020.13]  Pero pues.
[4020.21 → 4020.91]  Yo estoy dispuesto.
[4020.93 → 4022.15]  A venir a ayudar a los profesores.
[4022.21 → 4023.51]  A ayudarlos a hacer las inscripciones.
[4023.61 → 4024.23]  Y demás vainas.
[4024.41 → 4024.79]  Porque pues.
[4024.93 → 4025.65]  Eso es un trabajo.
[4025.91 → 4026.15]  Claro.
[4026.29 → 4026.77]  Yo también.
[4027.07 → 4027.19]  Sí.
[4027.21 → 4027.45]  Claro.
[4027.57 → 4027.69]  Pues.
[4027.91 → 4028.43]  Con compromiso.
[4028.47 → 4028.93]  Los profesores.
[4029.11 → 4029.37]  Porque pues.
[4029.43 → 4030.03]  Tampoco es.
[4030.65 → 4030.81]  Sí.
[4030.99 → 4031.21]  O sea.
[4031.31 → 4032.05]  Para ayudarlos.
[4032.09 → 4032.65]  Hacer el trabajo.
[4032.79 → 4033.23]  Para hacerlo.
[4033.79 → 4034.71]  Que lo otro que se me ocurre.
[4034.91 → 4035.01]  Pao.
[4035.25 → 4036.47]  Nosotros todos los semestres.
[4036.47 → 4037.33]  Nosotros les solicitamos.
[4037.39 → 4037.77]  A los estudios.
[4037.77 → 4038.49]  A los profesores.
[4038.53 → 4039.51]  Los contenidos programáticos.
[4040.49 → 4041.97]  Hay algunos que los envían.
[4042.19 → 4042.65]  Muy juiciosos.
[4042.75 → 4043.49]  Hay otros que de pronto.
[4043.57 → 4043.87]  Los envían.
[4043.95 → 4045.05]  Un poquito más tarde.
[4045.27 → 4046.87]  De cuando inicia el semestre.
[4047.05 → 4047.85]  Pero de pronto.
[4048.23 → 4048.71]  Con ese.
[4048.85 → 4049.37]  Con eso.
[4049.55 → 4050.05]  Que ya hay.
[4050.81 → 4051.61]  Hacer algún.
[4051.97 → 4052.37]  Porque obviamente.
[4052.45 → 4053.37]  Que no se puede publicar.
[4053.41 → 4053.85]  El programa.
[4053.95 → 4054.57]  De la asignatura.
[4054.63 → 4055.47]  En su totalidad.
[4055.77 → 4056.03]  Sí.
[4056.45 → 4057.17]  Fijamos que por algo.
[4057.33 → 4058.31]  Existe la solicitud.
[4058.31 → 4058.95]  De certificado.
[4058.95 → 4060.15]  De contenidos programáticos.
[4060.57 → 4061.11]  Que es el insumo.
[4061.15 → 4062.75]  Que utiliza la secretaría académica.
[4063.11 → 4063.45]  Y pues.
[4063.45 → 4064.79]  Hay cosas de esos programas.
[4064.95 → 4065.65]  Que son.
[4065.65 → 4066.59]  Exclusivas del manejo.
[4066.83 → 4067.23]  De los docentes.
[4067.41 → 4068.17]  Como su metodología.
[4068.35 → 4068.83]  Pero de pronto.
[4069.01 → 4069.63]  Los módulos.
[4069.67 → 4070.85]  Y los objetivos.
[4071.23 → 4072.77]  Si se podrían publicar.
[4072.87 → 4073.23]  De pronto.
[4073.41 → 4074.73]  Con los estudiantes auxiliares.
[4074.95 → 4075.85]  O con ustedes mismos.
[4076.19 → 4076.25]  Pero.
[4076.25 → 4077.37]  Como así que la metodología.
[4077.43 → 4078.39]  No la pueden publicar.
[4078.61 → 4079.37]  Hay cosas.
[4079.47 → 4079.93]  Habrán cosas.
[4079.93 → 4080.73]  De esos programas.
[4080.75 → 4081.13]  Que son.
[4081.25 → 4081.53]  Digamos.
[4081.77 → 4082.17]  Sensibles.
[4082.75 → 4083.13]  Digamos.
[4083.45 → 4085.03]  De lo que ha propuesto el docente.
[4085.21 → 4086.31]  Y hay alguna normativa.
[4086.49 → 4087.15]  Que regule eso.
[4087.29 → 4087.59]  Pues.
[4087.65 → 4088.05]  Más allá.
[4088.23 → 4089.05]  Por ejemplo.
[4089.53 → 4091.11]  Si tú necesitas un certificado.
[4091.11 → 4092.45]  De contenidos.
[4092.63 → 4093.15]  Los contenidos.
[4093.17 → 4094.15]  Tienen que estar certificados.
[4094.23 → 4094.59]  Justamente.
[4094.83 → 4095.51]  Por la secretaría.
[4095.87 → 4096.83]  Muchas veces a nosotros nos llegan.
[4096.83 → 4097.53]  Los contenidos.
[4097.59 → 4098.81]  De los estudiantes.
[4099.47 → 4099.69]  Como.
[4099.87 → 4100.83]  Nos envían el programa.
[4100.89 → 4101.81]  Que me envió el docente.
[4101.93 → 4102.49]  Y es como no.
[4102.53 → 4103.49]  Eso no lo recibimos.
[4104.45 → 4104.47]  Como.
[4104.49 → 4104.85]  Como.
[4105.07 → 4105.61]  Como soporte.
[4106.01 → 4107.91]  Sino que eso tiene que venir certificado.
[4108.23 → 4109.53]  Y seguramente.
[4109.55 → 4110.43]  Habrán cosas.
[4110.95 → 4111.63]  De los programas.
[4111.63 → 4112.23]  De los docentes.
[4112.25 → 4112.51]  Que son.
[4112.55 → 4113.73]  De la producción intelectual.
[4113.81 → 4114.27]  Me imagino.
[4114.29 → 4115.05]  Que los docentes.
[4115.09 → 4116.23]  Por eso creo que los programas.
[4116.25 → 4117.35]  No se deben publicar.
[4117.37 → 4117.89]  En su.
[4118.45 → 4119.43]  En su totalidad.
[4120.61 → 4121.05]  Pues.
[4122.17 → 4122.61]  Si.
[4123.19 → 4123.95]  No sé del todo.
[4123.97 → 4124.39]  En mi caso.
[4124.39 → 4125.65]  En mi caso como docente.
[4126.01 → 4126.41]  De mi experiencia.
[4126.47 → 4126.89]  No me gustaría.
[4126.99 → 4127.77]  Que mi programa.
[4127.85 → 4129.41]  Fue completamente público.
[4129.87 → 4130.41]  Por temas.
[4130.55 → 4130.77]  Digamos.
[4131.01 → 4131.19]  De cosas.
[4131.23 → 4132.01]  Que proponemos allí.
[4132.07 → 4132.65]  Que son únicas.
[4132.65 → 4133.45]  De nuestra asignatura.
[4133.75 → 4133.91]  Claro.
[4134.65 → 4135.91]  Yo lo entiendo así.
[4135.99 → 4137.33]  Pero creo que también es importante.
[4137.93 → 4138.57]  El conocimiento.
[4138.59 → 4139.15]  De la metodología.
[4139.19 → 4140.57]  Eso desde el lado del estudiante.
[4140.71 → 4141.67]  Porque a veces uno.
[4141.83 → 4142.27]  Termina.
[4142.57 → 4143.27]  Dándose cuenta.
[4143.29 → 4144.19]  De la metodología.
[4145.03 → 4145.49]  Hasta que.
[4145.49 → 4146.81]  Hasta que inscriba la clase.
[4147.09 → 4147.45]  Y ya.
[4148.49 → 4149.99]  Como el resumen ejecutivo.
[4150.09 → 4150.63]  De la asignatura.
[4151.13 → 4151.53]  Objetivos.
[4151.69 → 4152.09]  Módulos.
[4152.21 → 4152.65]  Podría ser.
[4154.49 → 4154.89]  Pero.
[4155.27 → 4156.35]  Generalmente esas descripciones.
[4156.51 → 4157.57]  Terminan estando así.
[4162.17 → 4162.97]  No sé.
[4163.93 → 4164.69]  Es que yo digo.
[4165.13 → 4165.25]  Que.
[4165.25 → 4165.65]  Podríamos.
[4165.89 → 4165.99]  Adoptar.
[4166.07 → 4166.37]  Por ejemplo.
[4166.53 → 4166.95]  Un modelo de.
[4167.05 → 4167.37]  Si la busco.
[4167.37 → 4168.21]  Utiliza la universidad.
[4168.39 → 4168.63]  A ver ya.
[4168.91 → 4169.59]  Es un modelo.
[4169.59 → 4170.21]  Que me parece.
[4170.41 → 4170.49]  Bien.
[4171.03 → 4171.37]  No sé.
[4171.43 → 4171.89]  No entiendo.
[4172.87 → 4173.11]  O sea.
[4173.11 → 4173.61]  Me parece.
[4173.73 → 4174.11]  Que tampoco.
[4174.21 → 4175.13]  Hay que llegar entonces.
[4175.41 → 4175.47]  A la.
[4176.17 → 4176.89]  O sea.
[4176.91 → 4177.11]  Sí.
[4177.19 → 4177.89]  Hay una justificación.
[4177.99 → 4178.81]  Tanto de la protección.
[4178.93 → 4180.11]  De propiedad intelectual.
[4180.51 → 4180.87]  Exacto.
[4181.03 → 4182.05]  Y una justificación.
[4182.13 → 4183.21]  De la libertad de cátedra.
[4183.23 → 4183.77]  Por supuesto.
[4183.99 → 4184.85]  Pero tampoco puede ser.
[4184.89 → 4185.97]  Una libertad completamente.
[4186.07 → 4186.65]  Del profesor.
[4186.69 → 4187.95]  Hacia lo que se le halaga en la clase.
[4188.63 → 4188.85]  Desentendiendo.
[4188.93 → 4189.07]  No.
[4189.07 → 4190.15]  Lo que yo estoy diciendo.
[4190.53 → 4191.33]  Yo lo que estoy diciendo.
[4191.41 → 4193.01]  Es que podemos hacer una publicación.
[4193.03 → 4193.49]  De eso.
[4193.61 → 4195.59]  Pero con unas cosas muy generales.
[4195.61 → 4196.59]  No la publicación.
[4196.73 → 4197.09]  Completa.
[4197.11 → 4198.17]  Del programa académico.
[4198.59 → 4199.75]  Porque seguramente muchos profesores.
[4199.75 → 4200.07]  Sí claro.
[4200.09 → 4200.75]  Lo van a querer.
[4200.87 → 4201.89]  Y eso en todo caso.
[4201.93 → 4202.55]  Se modifica.
[4202.55 → 4203.67]  A semestre a semestre.
[4204.15 → 4204.45]  Yo por ejemplo.
[4205.13 → 4205.29]  Yo creo que.
[4205.53 → 4206.35]  No tiene problema.
[4206.41 → 4207.73]  Yo creo que.
[4208.59 → 4208.63]  Pues.
[4208.63 → 4209.61]  No tiene un problema.
[4209.77 → 4210.29]  Y lo.
[4210.95 → 4212.23]  Lo puedes publicar.
